data	wsch	zach	st_zach	produkcja	oddanie	pobranie
2022-02-11	06:57:10	16:43:14	8	0,26	0	4,86
2022-02-12	06:55:16	16:45:06	2	5,79	1,7	0,8
2022-02-13	06:53:22	16:46:58	3	5,26	1,42	2,34
2022-02-14	06:51:25	16:48:51	2	5,62	2,41	2,59
2022-02-15	06:49:28	16:50:43	4	3,58	1,63	3,21
2022-02-16	06:47:29	16:52:35	7	1,16	0,25	2,1
2022-02-17	06:45:29	16:54:27	1	8,59	3,68	2,36
2022-02-18	06:43:28	16:56:18	3	4,24	1,27	3,09
2022-02-19	06:41:26	16:58:10	6	2,18	0,9	3,17
2022-02-20	06:39:22	17:00:01	0	9,14	2,74	1,96
2022-02-21	06:37:18	17:01:52	0	9,85	3,02	2,46
2022-02-22	06:35:12	17:03:43	1	9,29	2,79	1,49
2022-02-23	06:33:05	17:05:34	4	2,57	0,76	4,03
2022-02-24	06:30:58	17:07:24	0	9,64	3,82	2,36
2022-02-25	06:28:49	17:09:14	0	9,35	3,73	2,18
2022-02-26	06:26:40	17:11:04	0	8,76	3,92	2,4
2022-02-27	06:24:29	17:12:53	0	9,77	3,26	1,3
2022-02-28	06:22:18	17:14:43	5	2,93	1,03	2,99
2022-03-01	06:20:07	17:16:32	2	4,66	1,37	2,05
2022-03-02	06:17:54	17:18:20	6	2,99	0,74	1,48
2022-03-03	06:15:41	17:20:09	7	1,14	0,22	3,27
2022-03-04	06:13:27	17:21:57	0	9,71	3,95	1,96
2022-03-05	06:11:12	17:23:45	0	9,92	3,01	1,52
2022-03-06	06:08:57	17:25:33	1	9,66	2,79	1,24
2022-03-07	06:06:41	17:27:20	4	3,6	1,68	2,75
2022-03-08	06:04:25	17:29:07	2	4,9	2,53	2,46
2022-03-09	06:02:08	17:30:54	3	3,29	0,73	2,43
2022-03-10	05:59:51	17:32:41	1	7,92	1,58	1,63
2022-03-11	05:57:34	17:34:27	4	2,99	1,05	2,89
2022-03-12	05:55:15	17:36:13	0	11,09	3,46	1,28
2022-03-13	05:52:57	17:37:59	0	12,5	3,14	1,24
2022-03-14	05:50:38	17:39:45	2	5,32	2,64	3,06
2022-03-15	05:48:19	17:41:31	6	3,14	1,73	3,82
2022-03-16	05:46:00	17:43:16	0	12,41	3,85	0,67
2022-03-17	05:43:41	17:45:01	4	3,11	2,14	4,2
2022-03-18	05:41:21	17:46:46	0	11,14	3,57	1,4
2022-03-19	05:39:01	17:48:31	0	14,64	3,79	0,42
2022-03-20	05:36:41	17:50:16	0	12,39	3,87	1,02
2022-03-21	05:34:21	17:52:00	3	3,56	1,4	3,29
2022-03-22	05:32:01	17:53:45	5	3,59	2,01	3,66
2022-03-23	05:29:40	17:55:29	0	12,04	3,72	1,59
2022-03-24	05:27:20	17:57:13	0	12,54	3,69	1,05
2022-03-25	05:25:00	17:58:58	3	3,96	2,59	3,5
2022-03-26	05:22:39	18:00:42	0	12,15	3,61	0,86
2022-03-27	06:20:19	19:02:26	0	10,83	3,78	2,47
2022-03-28	06:17:59	19:04:10	4	4,42	3,15	3,62
2022-03-29	06:15:39	19:05:53	7	1,83	0,6	2,89
2022-03-30	06:13:19	19:07:37	0	10,86	3,24	1,57
2022-03-31	06:11:00	19:09:21	0	10,73	3,02	2,14
2022-04-01	06:08:40	19:11:05	3	5,21	2,46	2,89
2022-04-02	06:06:21	19:12:48	0	11,83	3,14	1,08
2022-04-03	06:04:02	19:14:32	6	2,32	1,08	4,09
2022-04-04	06:01:44	19:16:16	2	6,34	3,25	2,01
2022-04-05	05:59:25	19:17:59	4	4,87	1,47	1,86
2022-04-06	05:57:08	19:19:43	4	3,57	0,16	2,94
2022-04-07	05:54:50	19:21:27	2	6,61	2,51	1,34
2022-04-08	05:52:33	19:23:10	0	14,15	3,32	1,82
2022-04-09	05:50:17	19:24:54	0	10,3	3,31	4,15
2022-04-10	05:48:01	19:26:38	0	10,04	3,85	3,16
2022-04-11	05:45:45	19:28:21	4	3,82	1,64	3,12
2022-04-12	05:43:30	19:30:05	1	7,92	3,79	3,05
2022-04-13	05:41:16	19:31:49	1	7,5	3,12	2,94
2022-04-14	05:39:02	19:33:32	0	12,58	3,42	2,05
2022-04-15	05:36:49	19:35:16	2	7,66	3,41	1,68
2022-04-16	05:34:37	19:37:00	4	4,16	1,58	2,89
2022-04-17	05:32:25	19:38:44	6	2,34	1,06	2,46
2022-04-18	05:30:15	19:40:27	6	2,42	1,24	2,97
2022-04-19	05:28:05	19:42:11	4	3,78	2,07	2,93
2022-04-20	05:25:56	19:43:54	1	7,54	2,57	2,06
2022-04-21	05:23:48	19:45:38	0	13,18	3,56	2,02
2022-04-22	05:21:40	19:47:22	5	2,54	0,68	3,58
2022-04-23	05:19:34	19:49:05	0	10,62	3,13	2,07
2022-04-24	05:17:29	19:50:48	0	13,23	3,2	0,56
2022-04-25	05:15:25	19:52:32	6	3,09	1,32	3,52
2022-04-26	05:13:22	19:54:15	2	5,84	2,51	1,33
2022-04-27	05:11:20	19:55:58	2	6,08	2,34	1,65
2022-04-28	05:09:19	19:57:40	6	3,61	1,32	2,14
2022-04-29	05:07:20	19:59:23	1	9,28	3,62	2,17
2022-04-30	05:05:22	20:01:05	5	4,69	3,21	2,9
2022-05-01	05:03:25	20:02:47	3	4,1	2,16	3,12
2022-05-02	05:01:29	20:04:29	0	12,23	3,94	2,01
2022-05-03	04:59:35	20:06:11	3	5,28	2,87	2,58
2022-05-04	04:57:42	20:07:52	0	13,63	3,27	0,93
2022-05-05	04:55:51	20:09:32	0	13,36	3,91	1,56
2022-05-06	04:54:02	20:11:13	1	8,76	3,15	1,42
2022-05-07	04:52:14	20:12:52	2	5,66	4,2	2,94
2022-05-08	04:50:27	20:14:32	2	6,84	4,38	2,05
2022-05-09	04:48:43	20:16:10	7	2,89	0,59	2,19
2022-05-10	04:47:00	20:17:49	3	5,65	3,89	3,4
2022-05-11	04:45:19	20:19:26	1	8,83	3,04	2,06
2022-05-12	04:43:40	20:21:03	0	12,14	5,23	3,48
2022-05-13	04:42:02	20:22:39	1	14,36	6,3	1,57
2022-05-14	04:40:27	20:24:14	8	1,13	0,66	3,45
2022-05-15	04:38:54	20:25:48	1	10,59	4,34	2,6
2022-05-16	04:37:23	20:27:21	0	16,31	5,36	1,89
2022-05-17	04:35:53	20:28:54	0	14,39	5,34	1,14
2022-05-18	04:34:27	20:30:25	0	15,29	4,59	1,27
2022-05-19	04:33:02	20:31:55	5	5,77	2,58	1,16
2022-05-20	04:31:39	20:33:24	3	6,62	4,3	2,28
2022-05-21	04:30:19	20:34:52	2	5,03	2,81	3,05
2022-05-22	04:29:02	20:36:18	0	14,1	4,04	2,86
2022-05-23	04:27:46	20:37:43	8	1,36	0,58	4,95
2022-05-24	04:26:34	20:39:07	8	1,71	0,14	3,51
2022-05-25	04:25:23	20:40:29	6	1,6	0,94	4,68
2022-05-26	04:24:16	20:41:49	4	2,07	1,05	3,94
2022-05-27	04:23:11	20:43:08	4	2,96	1,06	3,59
2022-05-28	04:22:08	20:44:24	3	5,78	4,2	2,96
2022-05-29	04:21:09	20:45:40	1	15,38	10,54	2,16
2022-05-30	04:20:12	20:46:53	1	15,89	9,68	1,24
2022-05-31	04:19:18	20:48:04	0	18,7	9,4	0,39
2022-06-01	04:18:27	20:49:13	0	14,56	3,3	0,64
2022-06-02	04:17:39	20:50:20	3	5,87	2,16	2,14
2022-06-03	04:16:54	20:51:25	0	19,62	9,23	0,34
2022-06-04	04:16:12	20:52:27	2	5,79	1,35	1,12
2022-06-05	04:15:32	20:53:27	1	10,67	5,16	2,68
2022-06-06	04:14:56	20:54:25	0	12,47	3,15	1,34
2022-06-07	04:14:23	20:55:20	0	19,79	12,84	3,5
2022-06-08	04:13:54	20:56:13	0	12,57	6,64	3,26
2022-06-09	04:13:27	20:57:03	4	4,3	2,36	3,54
2022-06-10	04:13:03	20:57:50	1	12,65	6,94	3,24
2022-06-11	04:12:43	20:58:35	1	8,86	2,94	1,68
2022-06-12	04:12:26	20:59:17	3	5,64	4,25	4,95
2022-06-13	04:12:12	20:59:56	2	6,89	3,98	2,49
2022-06-14	04:12:01	21:00:32	0	14,03	5,68	2,95
2022-06-15	04:11:54	21:01:05	1	11,04	4,94	3,41
2022-06-16	04:11:49	21:01:35	0	11,7	4,79	2,51
2022-06-17	04:11:48	21:02:02	3	5,39	4,65	4,25
2022-06-18	04:11:50	21:02:26	0	11,1	4,64	3,54
2022-06-19	04:11:56	21:02:47	0	15,81	7,63	2,02
2022-06-20	04:12:04	21:03:04	2	8,88	6,14	3,61
2022-06-21	04:12:16	21:03:19	0	14,44	3,61	0,57
2022-06-22	04:12:31	21:03:30	1	9,79	4,8	3,05
2022-06-23	04:12:49	21:03:38	0	14,78	6,76	3,64
2022-06-24	04:13:10	21:03:43	0	14,52	8,19	3,95
2022-06-25	04:13:34	21:03:44	3	5,86	4,19	3,85
2022-06-26	04:14:01	21:03:42	1	12,81	7,18	1,54
2022-06-27	04:14:31	21:03:37	0	13,22	5,53	4,26
2022-06-28	04:15:04	21:03:29	0	14,18	6,49	3,84
2022-06-29	04:15:40	21:03:18	0	18,47	9,2	2,47
2022-06-30	04:16:19	21:03:03	3	6,81	2,59	1,95
2022-07-01	04:17:00	21:02:45	2	2,96	1,54	4,52
2022-07-02	04:17:44	21:02:23	0	13,76	7,09	4,32
2022-07-03	04:18:31	21:01:59	0	17,92	10,28	2,65
2022-07-04	04:19:21	21:01:31	0	19,89	10,64	1,48
2022-07-05	04:20:12	21:01:00	0	19,15	11,79	2,95
2022-07-06	04:21:07	21:00:26	1	14,68	11,32	4,26
2022-07-07	04:22:04	20:59:49	0	16,95	9,57	3,24
2022-07-08	04:23:03	20:59:09	1	11,9	7,34	4,81
2022-07-09	04:24:04	20:58:25	0	19,44	11,14	2,91
2022-07-10	04:25:08	20:57:39	0	19,54	12,94	3,47
2022-07-11	04:26:13	20:56:50	0	18,52	12,35	1,85
2022-07-12	04:27:21	20:55:57	0	19,77	11,78	1,95
2022-07-13	04:28:31	20:55:02	0	17,22	9,69	2,84
2022-07-14	04:29:42	20:54:04	1	14,02	8,54	2,69
2022-07-15	04:30:55	20:53:03	1	15,96	11,95	3,05
2022-07-16	04:32:11	20:52:00	1	15,06	7,68	1,16
2022-07-17	04:33:27	20:50:54	0	19,62	10,19	0,47
2022-07-18	04:34:46	20:49:45	0	18,97	8,85	1,66
2022-07-19	04:36:05	20:48:33	0	17,94	9,83	3,13
2022-07-20	04:37:27	20:47:19	0	17,35	11,02	2,82
2022-07-21	04:38:49	20:46:03	0	18,3	10,96	2,14
2022-07-22	04:40:13	20:44:44	0	17,04	9,85	2,26
2022-07-23	04:41:38	20:43:23	0	18,85	11,75	2,94
2022-07-24	04:43:05	20:41:59	0	16,55	8,33	1,56
2022-07-25	04:44:32	20:40:33	1	13,83	8,2	3,02
2022-07-26	04:46:01	20:39:05	0	16,16	8,95	2,09
2022-07-27	04:47:30	20:37:34	0	17,82	10,94	3,66
2022-07-28	04:49:00	20:36:02	0	19,23	10,19	2,03
2022-07-29	04:50:32	20:34:27	0	18,59	10,29	1,74
2022-07-30	04:52:04	20:32:51	1	14,2	10,59	4,04
2022-07-31	04:53:36	20:31:12	1	13,79	8,49	2,38
2022-08-01	04:55:10	20:29:32	1	15,96	9,48	1,78
2022-08-02	04:56:44	20:27:50	0	18,86	12,56	4,93
2022-08-03	04:58:19	20:26:06	0	18,12	9,15	2,87
2022-08-04	04:59:54	20:24:20	0	19,88	10,14	1,94
2022-08-05	05:01:30	20:22:32	1	12,71	8,08	2,89
2022-08-06	05:03:06	20:20:43	1	11,46	7,01	2,95
2022-08-07	05:04:42	20:18:53	0	18,38	11,16	3,69
2022-08-08	05:06:19	20:17:00	0	15,21	6,71	3,21
2022-08-09	05:07:56	20:15:06	0	19,33	10,19	1,54
2022-08-10	05:09:34	20:13:11	0	19,83	12,94	3,94
2022-08-11	05:11:12	20:11:15	0	15,68	6,85	2,49
2022-08-12	05:12:50	20:09:17	1	10,43	5,19	2,76
2022-08-13	05:14:28	20:07:17	0	17,89	7,23	0,49
2022-08-14	05:16:07	20:05:17	0	17,03	9,32	3,67
2022-08-15	05:17:45	20:03:15	0	19,92	12,25	1,77
2022-08-16	05:19:24	20:01:12	0	16,06	7,46	2,18
2022-08-17	05:21:03	19:59:08	0	18,84	10,64	3,51
2022-08-18	05:22:42	19:57:02	0	18,97	10,97	3,09
2022-08-19	05:24:21	19:54:56	1	11,99	7,68	3,68
2022-08-20	05:26:00	19:52:49	0	19,65	11,94	3,66
2022-08-21	05:27:39	19:50:40	1	13,19	8,34	2,4
2022-08-22	05:29:18	19:48:31	1	14,17	9,97	3,16
2022-08-23	05:30:57	19:46:21	1	12,08	6,96	2,23
2022-08-24	05:32:36	19:44:10	0	18,74	10,34	2,92
2022-08-25	05:34:15	19:41:58	0	17,95	8,23	0,78
2022-08-26	05:35:54	19:39:45	0	16,83	8,83	3,07
2022-08-27	05:37:33	19:37:32	0	17,09	8,63	0,64
2022-08-28	05:39:12	19:35:18	0	18,01	10,67	2,95
2022-08-29	05:40:51	19:33:03	0	19,48	12,16	3,2
2022-08-30	05:42:30	19:30:47	0	18,11	11,38	2,91
2022-08-31	05:44:09	19:28:31	0	17,56	9,49	0,94
2022-09-01	05:45:48	19:26:15	0	16,81	9,46	2,19
2022-09-02	05:47:26	19:23:57	0	15,05	9,31	3,95
2022-09-03	05:49:05	19:21:40	0	14,3	8,69	4,69
2022-09-04	05:50:44	19:19:21	0	19,4	10,84	0,84
2022-09-05	05:52:22	19:17:03	1	14,15	8,94	3,18
2022-09-06	05:54:01	19:14:44	2	10,2	6,94	1,89
2022-09-07	05:55:40	19:12:24	0	19,15	12,22	2,98
2022-09-08	05:57:18	19:10:04	0	16,74	9,15	3,48
2022-09-09	05:58:57	19:07:44	1	12,97	7,63	2,59
2022-09-10	06:00:36	19:05:24	0	19,69	11,67	1,86
2022-09-11	06:02:14	19:03:03	1	15,77	9,66	0,95
2022-09-12	06:03:53	19:00:42	1	13,48	8,56	2,94
2022-09-13	06:05:31	18:58:21	1	14,44	9,48	2,84
2022-09-14	06:07:10	18:55:59	0	15,61	8,78	4,95
2022-09-15	06:08:49	18:53:38	0	18	9,97	3,65
2022-09-16	06:10:27	18:51:16	3	9,78	6,88	4,98
2022-09-17	06:12:06	18:48:55	1	13,43	8,97	3,24
2022-09-18	06:13:45	18:46:33	1	12,57	8,44	3,16
2022-09-19	06:15:24	18:44:11	2	10,44	7,84	2,48
2022-09-20	06:17:03	18:41:49	0	14,53	5,65	2,94
2022-09-21	06:18:42	18:39:28	0	14,84	5,95	1,9
2022-09-22	06:20:22	18:37:06	0	16,51	7,84	0,84
2022-09-23	06:22:01	18:34:44	0	12,03	6,37	5,4
2022-09-24	06:23:40	18:32:23	0	15,85	6,64	2,69
2022-09-25	06:25:20	18:30:01	0	18,45	8,54	1,02
2022-09-26	06:27:00	18:27:40	1	11,93	7,93	3,04
2022-09-27	06:28:40	18:25:19	0	13,34	8,39	2,84
2022-09-28	06:30:20	18:22:59	0	13,66	7,55	2,14
2022-09-29	06:32:01	18:20:38	2	9,33	5,86	2,19
2022-09-30	06:33:41	18:18:18	0	12,98	6,32	3,02
2022-10-01	06:35:22	18:15:58	3	6,6	5,68	4,16
2022-10-02	06:37:03	18:13:39	2	8,07	6,79	5,03
2022-10-03	06:38:44	18:11:20	4	4,42	3,32	3,56
2022-10-04	06:40:26	18:09:01	4	4,39	1,26	1,19
2022-10-05	06:42:08	18:06:43	4	5,07	2,68	2,14
2022-10-06	06:43:50	18:04:25	4	5,66	3,96	2,18
2022-10-07	06:45:32	18:02:08	4	5,19	3,12	4,06
2022-10-08	06:47:15	17:59:51	7	3,5	1,65	4,26
2022-10-09	06:48:57	17:57:35	1	9,49	4,95	2,89
2022-10-10	06:50:41	17:55:20	3	6,48	4,85	3,41
2022-10-11	06:52:24	17:53:05	3	5,86	4,97	4,02
2022-10-12	06:54:08	17:50:51	3	5,92	4,36	2,68
2022-10-13	06:55:52	17:48:37	5	3,69	1,58	2,43
2022-10-14	06:57:36	17:46:25	1	8,88	3,95	2,44
2022-10-15	06:59:21	17:44:13	1	8,56	2,86	1,61
2022-10-16	07:01:06	17:42:02	0	14,7	5,42	2,48
2022-10-17	07:02:51	17:39:52	1	11,59	6,72	2,47
2022-10-18	07:04:36	17:37:42	6	3,26	1,96	3,14
2022-10-19	07:06:22	17:35:34	4	4,9	1,87	3,61
2022-10-20	07:08:08	17:33:27	1	9,38	5,46	3,45
2022-10-21	07:09:55	17:31:20	3	5,29	3,94	3,48
2022-10-22	07:11:41	17:29:15	0	13,23	6,74	2,69
2022-10-23	07:13:28	17:27:11	7	3,97	1,64	4,84
2022-10-24	07:15:15	17:25:08	0	12,38	6,35	3,66
2022-10-25	07:17:02	17:23:06	4	4,58	2,53	4,57
2022-10-26	07:18:50	17:21:06	6	2,06	1,06	3,84
2022-10-27	07:20:38	17:19:06	1	8,78	2,09	1,58
2022-10-28	07:22:26	17:17:08	1	8,06	1,98	1,08
2022-10-29	07:24:14	17:15:12	4	4,73	3,79	3,08
2022-10-30	06:26:02	16:13:16	3	5,33	2,98	3,05
2022-10-31	06:27:50	16:11:23	6	2,13	1,67	4,21
2022-11-01	06:29:38	16:09:31	8	1,23	0,57	5,08
2022-11-02	06:31:27	16:07:40	3	5,84	4,32	2,95
2022-11-03	06:33:15	16:05:51	3	4,55	3,94	6,57
2022-11-04	06:35:03	16:04:03	3	4,7	3,64	4,21
2022-11-05	06:36:52	16:02:18	2	5,19	3,65	5,32
2022-11-06	06:38:40	16:00:34	1	7,75	3,84	3,65
2022-11-07	06:40:28	15:58:52	4	4,07	3,21	3,48
2022-11-08	06:42:16	15:57:11	3	5,63	4,23	4,61
2022-11-09	06:44:03	15:55:33	6	3,14	1,65	2,96
2022-11-10	06:45:51	15:53:57	0	11,93	6,46	4,06
2022-11-11	06:47:38	15:52:22	4	5,15	2,49	3,84
2022-11-12	06:49:24	15:50:50	3	4,75	3,49	5,09
2022-11-13	06:51:11	15:49:20	3	4,16	3,02	4,19
2022-11-14	06:52:56	15:47:52	2	5,19	2,94	4,94
2022-11-15	06:54:41	15:46:27	8	1,38	0,4	6,48
2022-11-16	06:56:26	15:45:03	8	1,53	0,23	3,95
2022-11-17	06:58:09	15:43:42	2	4,19	1,92	3,24
2022-11-18	06:59:52	15:42:24	5	3,63	1,48	2,96
2022-11-19	07:01:35	15:41:08	5	3,6	2,06	2,72
2022-11-20	07:03:16	15:39:54	2	6,14	5,07	3,94
2022-11-21	07:04:56	15:38:43	5	3,16	2,11	4,08
2022-11-22	07:06:35	15:37:35	4	4,1	3,41	4,61
2022-11-23	07:08:13	15:36:30	7	2,91	1,06	5,07
2022-11-24	07:09:50	15:35:27	6	3,18	1,37	4,16
2022-11-25	07:11:26	15:34:27	7	2,52	1,46	5,24
2022-11-26	07:13:00	15:33:30	6	3,85	1,16	6,08
2022-11-27	07:14:33	15:32:36	8	1,84	0,47	4,66
2022-11-28	07:16:04	15:31:45	8	1,59	0,42	4,98
2022-11-29	07:17:33	15:30:57	8	1,34	0,27	3,95
2022-11-30	07:19:01	15:30:12	8	1,14	0	7,02
2022-12-01	07:20:27	15:29:31	7	2,49	1,06	6,09
2022-12-02	07:21:51	15:28:52	6	2,37	1,6	5,87
2022-12-03	07:23:13	15:28:17	5	3,36	2,41	4,95
2022-12-04	07:24:33	15:27:44	8	1,32	0,54	5,16
2022-12-05	07:25:51	15:27:16	7	2,48	0,49	5,04
2022-12-06	07:27:07	15:26:50	7	2,2	0,61	4,92
2022-12-07	07:28:20	15:26:28	7	2,87	0,35	5,03
2022-12-08	07:29:31	15:26:10	7	2,8	1,24	4,29
2022-12-09	07:30:39	15:25:54	6	2,95	1,42	4,25
2022-12-10	07:31:45	15:25:43	6	3,38	1,66	5,07
2022-12-11	07:32:48	15:25:34	7	2,11	0,84	5,38
2022-12-12	07:33:49	15:25:29	8	1,31	0,05	6,3
2022-12-13	07:34:46	15:25:28	7	2,03	1,02	6,12
2022-12-14	07:35:41	15:25:30	8	1,5	0,14	6,01
2022-12-15	07:36:33	15:25:36	5	3,8	0,24	4,92
2022-12-16	07:37:22	15:25:45	7	2,11	0,6	4,95
2022-12-17	07:38:07	15:25:58	7	2,22	0,95	6,02
2022-12-18	07:38:50	15:26:14	7	2,82	0,3	4,65
2022-12-19	07:39:30	15:26:34	8	1,25	0,32	6,04
2022-12-20	07:40:06	15:26:57	8	1,55	0,12	4,43
2022-12-21	07:40:39	15:27:24	8	1,77	0,14	6,21
2022-12-22	07:41:08	15:27:54	8	1,31	0,17	4,85
2022-12-23	07:41:35	15:28:27	6	3,04	0,72	4,12
2022-12-24	07:41:58	15:29:04	8	1,09	0,09	6,07
2022-12-25	07:42:17	15:29:44	7	2,92	1,05	4,14
2022-12-26	07:42:33	15:30:27	6	3,24	2,04	5,02
2022-12-27	07:42:46	15:31:13	5	3,79	2,61	4,65
2022-12-28	07:42:55	15:32:03	8	1,54	0,36	4,19
2022-12-29	07:43:01	15:32:56	8	1,21	0,24	5,39
2022-12-30	07:43:03	15:33:51	5	3,76	0,22	4,06
2022-12-31	07:43:02	15:34:50	8	1,98	0,03	5,03
