Numer;Powierzchnia;Rodzaj;Ulga
518/95;516,60;B;C
518/96;783,69;B;A
518/97;816,12;B;C
518/98;1347,13;X;C
518/99;1339,49;B;D
519/10;1390,70;X;A
519/11;1268,17;B;B
519/12;954,50;B;C
519/13;1347,14;B;A
519/14;1460,78;B;A
519/15;518,01;X;D
519/16;552,62;B;B
519/17;529,15;X;C
519/18;1022,68;B;A
519/19;923,91;B;A
519/20;972,58;B;D
519/21;895,96;B;B
519/22;1389,57;R;C
519/23;1130,88;B;C
519/24;592,39;B;C
519/25;1086,09;B;C
519/26;714,59;X;C
519/27;1160,89;R;B
519/28;1316,46;X;B
519/29;1205,76;X;D
519/30;987,56;B;C
519/31;1077,55;B;B
519/32;812,22;B;B
519/33;1018,72;B;C
519/34;1064,72;B;D
519/35;794,93;B;C
519/36;1178,78;R;C
519/37;1034,58;B;C
519/38;817,65;B;A
519/39;1382,50;R;B
519/40;722,12;R;C
519/41;1183,12;B;B
519/42;632,02;B;D
519/43;1319,72;B;D
519/44;1195,13;B;B
519/45;546,65;R;C
519/46;817,20;X;B
519/47;894,12;B;C
519/48;1377,56;B;B
519/49;1183,96;B;B
519/50;902,26;B;D
519/51;1260,22;X;B
519/52;853,94;B;B
519/53;803,48;B;C
519/54;1232,20;B;D
519/55;678,61;R;C
519/56;884,63;B;D
519/57;1128,74;B;B
519/58;553,19;X;D
519/59;1116,63;L;B
519/60;605,51;B;D
519/61;972,22;B;C
519/62;1380,57;X;D
519/63;833,22;L;A
519/64;1270,71;L;B
519/65;899,83;B;B
519/66;1396,76;L;A
519/67;821,87;L;B
519/68;754,24;B;C
519/69;555,34;L;A
519/70;1237,16;B;B
519/71;1404,12;S;D
519/72;1108,71;B;B
519/73;881,61;R;D
519/74;520,01;B;D
519/75;1271,76;X;C
519/76;1136,32;B;C
519/77;1037,52;R;C
519/78;719,81;R;B
519/79;1434,90;S;B
519/80;1387,92;R;B
519/81;1019,52;L;A
519/82;879,29;S;A
519/83;677,69;B;C
519/84;771,67;L;C
519/85;778,08;R;C
519/86;773,16;S;A
519/87;1450,53;L;B
519/88;900,65;S;B
519/89;532,13;R;A
519/90;1244,27;L;C
519/91;1168,02;L;D
519/92;1349,35;X;C
519/93;1205,11;R;B
519/94;555,91;B;B
519/95;787,01;B;A
519/96;1439,84;B;C
519/97;841,36;B;B
519/98;1244,80;X;C
519/99;1356,15;B;C
520/10;994,84;S;C
520/11;1491,04;B;B
520/12;744,78;B;C
520/13;741,17;B;A
520/14;1261,25;S;B
520/15;975,80;B;B
520/16;511,72;R;A
520/17;822,25;S;A
520/18;566,43;X;C
520/19;1117,46;B;C
520/20;785,19;B;C
520/21;604,85;B;C
520/22;1462,86;B;B
520/23;975,83;B;D
520/24;867,84;B;B
520/25;1290,21;B;D
520/26;1354,12;B;C
520/27;1030,42;B;C
520/28;948,80;B;D
520/29;1372,10;R;B
520/30;566,83;B;C
520/31;1003,70;X;A
520/32;531,15;B;D
520/33;682,35;B;C
520/34;575,77;X;C
520/35;875,52;B;C
520/36;669,02;B;B
520/37;668,63;X;D
520/38;863,92;B;A
520/39;741,86;B;C
520/40;970,49;S;D
520/41;1425,83;X;C
520/42;1251,18;B;C
520/43;1085,39;B;B
520/44;832,33;B;C
520/45;505,16;B;C
520/46;1381,30;B;A
520/47;999,13;B;B
520/48;635,78;B;B
520/49;1201,30;R;C
520/50;1215,42;B;C
520/51;829,39;B;B
520/52;609,95;B;C
520/53;1497,68;B;D
520/54;919,15;B;B
520/55;1179,46;B;C
520/56;684,42;R;C
520/57;888,94;B;B
520/58;520,82;R;D
520/59;1164,41;X;C
520/60;868,11;B;C
520/61;944,10;B;C
520/62;1263,51;B;B
520/63;1135,43;B;D
520/64;1224,97;B;B
520/65;637,07;B;D
520/66;910,37;B;B
520/67;952,07;X;B
520/68;1477,73;B;C
520/69;1030,49;L;B
520/70;647,85;B;B
520/71;706,86;B;B
520/72;1314,77;X;C
520/73;563,68;B;C
520/74;1156,95;X;D
520/75;644,61;B;B
520/76;881,98;B;B
520/77;1126,74;B;C
520/78;907,86;B;B
520/79;1276,65;B;D
520/80;1204,52;B;B
520/81;771,84;X;D
520/82;1487,38;B;A
520/83;747,43;B;D
520/84;733,70;R;B
520/85;883,87;B;C
520/86;743,84;L;A
520/87;504,84;B;C
520/88;1275,75;X;B
520/89;1351,80;X;B
520/90;1204,44;L;B
520/91;1030,68;L;A
520/92;527,08;L;B
520/93;630,46;B;C
520/94;928,77;B;D
520/95;666,62;L;A
520/96;1081,07;B;B
520/97;1392,93;X;C
520/98;1220,41;R;C
520/99;863,34;B;C
521/10;1042,98;R;D
521/11;1336,44;B;A
521/12;1359,03;B;C
521/13;1233,85;B;B
521/14;809,34;R;A
521/15;782,06;X;B
521/16;792,59;L;B
521/17;1194,91;B;D
521/18;1460,27;L;D
521/19;565,75;L;C
521/20;1468,06;R;D
521/21;1010,13;X;B
521/22;725,57;B;B
521/23;994,94;S;B
521/24;564,98;B;D
521/25;833,46;R;A
521/26;595,06;L;C
521/27;1286,66;R;B
521/28;503,06;X;D
521/29;772,45;L;C
521/30;1402,33;X;C
521/31;1463,47;R;A
521/32;949,22;S;C
521/33;510,40;B;B
521/34;875,60;S;B
521/35;1448,55;L;C
521/36;1440,41;X;C
521/37;1475,51;B;A
521/38;1167,25;S;C
521/39;822,24;L;D
521/40;1438,56;L;A
521/41;1342,62;X;C
521/42;1127,55;B;B
521/43;870,58;B;C
521/44;1206,97;X;C
521/45;876,22;L;B
521/46;610,78;S;D
521/47;702,92;X;A
521/48;559,08;X;C
521/49;936,84;S;B
521/50;947,89;L;C
521/51;1481,50;B;A
521/52;1063,34;B;D
521/53;1256,17;S;B
521/54;1070,83;B;D
521/55;871,31;B;C
521/56;1321,22;B;B
521/57;919,05;X;C
521/58;1194,24;R;C
521/59;793,84;S;C
521/60;505,69;R;A
521/61;635,82;X;A
521/62;579,96;B;B
521/63;1000,29;B;A
521/64;1060,77;X;D
521/65;1032,30;X;C
521/66;1390,95;X;B
521/67;689,21;R;B
521/68;961,56;B;B
521/69;662,14;X;C
521/70;1075,04;R;D
521/71;1141,94;S;A
521/72;1220,47;S;B
521/73;1470,37;L;C
521/74;716,96;B;A
521/75;1452,22;L;B
521/76;1487,37;L;B
521/77;715,05;X;B
521/78;764,85;X;B
521/79;834,30;X;D
521/80;881,61;B;B
521/81;533,59;B;D
521/82;635,88;B;B
521/83;1174,30;X;C
521/84;1049,93;L;C
521/85;594,79;L;B
521/86;629,78;S;A
521/87;1251,35;L;B
521/88;698,56;X;B
521/89;777,62;B;A
521/90;1247,40;B;C
521/91;904,43;B;D
521/92;609,35;L;A
521/93;657,98;L;C
521/94;1202,14;B;B
521/95;1398,54;S;D
521/96;1253,55;L;D
521/97;1294,49;S;D
521/98;1410,77;B;B
521/99;1358,90;B;C
522/10;922,49;B;A
522/11;959,88;B;C
522/12;1179,06;R;B
522/13;711,87;B;B
522/14;1438,41;B;D
522/15;871,98;X;C
522/16;971,27;B;B
522/17;1095,21;R;A
522/18;1310,74;B;C
522/19;978,60;R;A
522/20;1089,33;B;B
522/21;568,05;L;C
522/22;1000,77;S;C
522/23;767,23;S;B
522/24;1176,94;B;C
522/25;918,75;S;B
522/26;1287,35;X;D
522/27;1308,41;X;C
522/28;1142,27;B;C
522/29;1472,74;B;C
522/30;1024,85;R;A
522/31;1237,84;S;B
522/32;1070,43;B;B
522/33;865,71;S;C
522/34;1334,39;S;C
522/35;1242,26;S;C
522/36;1404,72;R;C
522/37;938,15;B;D
522/38;805,50;B;C
522/39;1049,29;R;A
522/40;1277,90;X;A
522/41;1474,26;R;D
522/42;887,06;B;C
522/43;1042,22;B;A
522/44;805,57;X;B
522/45;699,43;S;A
522/46;1273,46;S;D
522/47;819,93;B;D
522/48;735,11;B;B
522/49;727,41;S;A
522/50;1127,73;S;C
522/51;655,41;S;A
522/52;953,02;S;D
522/53;799,86;S;D
522/54;646,98;B;A
522/55;1182,74;X;B
522/56;860,91;B;D
522/57;1181,97;B;D
522/58;1299,79;B;D
522/59;1446,84;B;D
522/60;603,68;X;B
522/61;916,45;B;B
522/62;649,18;B;C
522/63;798,05;X;B
522/64;848,01;B;B
522/65;532,44;L;C
522/66;1270,51;R;C
522/67;883,93;L;A
522/68;1305,63;X;B
522/69;763,52;R;C
522/70;709,17;B;D
522/71;1016,66;L;C
522/72;785,36;B;D
522/73;1260,13;S;B
522/74;922,24;X;C
522/75;506,11;B;B
522/76;736,20;B;C
522/77;1479,40;S;B
522/78;1385,62;S;B
522/79;1338,01;X;A
522/80;837,75;B;B
522/81;722,89;B;C
522/82;749,29;B;B
522/83;940,27;S;C
522/84;554,89;R;C
522/85;825,66;L;B
522/86;1059,48;S;A
522/87;1321,61;B;D
522/88;780,40;B;A
522/89;546,66;X;B
522/90;938,07;B;A
522/91;1004,59;S;D
522/92;1326,79;X;D
522/93;589,53;L;C
522/94;1032,40;B;B
522/95;1445,83;B;D
522/96;690,12;S;B
522/97;879,00;S;C
522/98;828,59;L;C
522/99;835,83;S;B
523/10;896,45;B;C
523/11;1246,38;S;B
523/12;889,41;B;B
523/13;1082,44;L;B
523/14;841,95;L;A
523/15;978,27;B;A
523/16;813,20;B;A
523/17;627,05;S;B
523/18;1434,03;B;B
523/19;772,07;R;C
523/20;686,48;B;D
523/21;1119,21;B;C
523/22;972,84;S;B
523/23;1477,84;L;C
523/24;1048,81;L;A
523/25;569,43;S;C
523/26;534,61;S;B
523/27;629,67;L;D
523/28;1151,53;X;C
523/29;1370,27;B;B
523/30;656,02;S;B
523/31;944,89;X;C
523/32;984,31;L;A
523/33;1157,54;X;B
523/34;1404,66;B;D
523/35;1412,52;X;B
523/36;616,38;L;B
523/37;630,88;X;D
523/38;1101,61;R;D
523/39;1156,33;B;C
523/40;568,86;X;C
523/41;964,73;X;D
523/42;783,74;S;C
523/43;1294,90;L;B
523/44;1421,37;S;C
523/45;518,05;S;B
523/46;931,55;L;B
523/47;1006,91;X;C
523/48;1085,79;L;D
523/49;773,59;B;A
523/50;668,65;R;C
523/51;1026,22;R;C
523/52;676,68;X;C
523/53;854,52;X;C
523/54;1438,60;S;B
523/55;684,01;X;B
523/56;854,47;X;C
523/57;980,15;S;C
523/58;1222,23;X;C
523/59;751,85;B;B
523/60;1121,19;B;C
523/61;1377,82;X;D
523/62;818,83;B;A
523/63;980,34;B;C
523/64;1130,37;S;D
523/65;527,14;L;B
523/66;1293,67;R;C
523/67;1316,05;R;C
523/68;1119,73;S;A
523/69;1107,45;L;C
523/70;1468,29;L;B
523/71;1289,61;L;B
523/72;1492,68;X;D
523/73;827,99;R;C
523/74;852,78;X;D
523/75;1392,61;R;B
523/76;995,59;B;B
523/77;883,96;R;B
523/78;551,75;B;B
523/79;981,91;L;D
523/80;502,04;B;A
523/81;751,69;B;A
523/82;606,28;R;A
523/83;507,89;X;B
523/84;1240,60;X;B
523/85;1118,80;B;A
523/86;901,69;B;B
523/87;669,18;B;B
523/88;1261,25;L;C
523/89;904,59;S;D
523/90;1226,36;X;A
523/91;1338,18;L;D
523/92;1443,75;S;D
523/93;1301,83;B;B
523/94;505,45;S;C
523/95;1260,01;B;C
523/96;759,62;R;B
523/97;1484,05;B;C
523/98;1068,32;R;D
523/99;1190,05;S;C
524/10;687,86;X;A
524/11;690,64;L;D
524/12;964,41;B;A
524/13;663,66;B;B
524/14;985,42;R;B
524/15;1014,06;X;C
524/16;1325,19;X;C
524/17;899,60;B;B
524/18;1230,38;R;B
524/19;778,30;B;D
524/20;880,40;B;B
524/21;662,94;R;D
524/22;909,27;X;D
524/23;1112,25;B;C
524/24;615,93;B;B
524/25;1303,72;S;B
524/26;1013,51;B;B
524/27;936,19;B;C
524/28;559,41;X;B
524/29;1210,69;B;C
524/30;1420,74;B;C
524/31;1318,28;B;B
524/32;1039,66;B;B
524/33;691,14;R;B
524/34;912,87;S;C
524/35;1475,57;B;B
524/36;816,79;X;D
524/37;884,91;B;D
524/38;908,92;B;A
524/39;737,34;S;B
524/40;587,30;B;D
524/41;1085,04;S;C
524/42;1437,87;S;C
524/43;526,23;B;B
524/44;1276,66;B;A
524/45;1266,22;S;B
524/46;719,79;B;A
524/47;1297,96;B;D
524/48;517,57;R;B
524/49;1254,58;B;A
524/50;1422,10;B;B
524/51;631,16;S;A
524/52;824,86;B;C
524/53;1122,27;B;D
524/54;998,67;B;A
524/55;1196,50;B;A
524/56;1074,21;X;B
524/57;1059,38;X;B
524/58;1420,52;B;D
524/59;1185,67;B;C
524/60;689,77;S;B
524/61;1473,77;R;B
524/62;1088,97;B;C
524/63;984,13;R;D
524/64;1347,99;R;C
524/65;832,13;X;C
524/66;515,91;B;A
524/67;1005,69;X;C
524/68;1090,42;B;D
524/69;1230,30;S;C
524/70;952,01;S;C
524/71;876,72;R;C
524/72;1481,26;B;C
524/73;643,71;B;C
524/74;1040,32;S;B
524/75;1211,94;B;A
524/76;689,33;X;D
524/77;1095,55;B;B
524/78;650,14;R;B
524/79;1264,36;L;C
524/80;522,80;S;C
524/81;629,69;B;D
524/82;1383,39;B;B
524/83;1492,40;B;D
524/84;1048,57;B;A
524/85;1244,54;B;C
524/86;816,79;L;B
524/87;952,49;X;A
524/88;587,97;B;C
524/89;677,64;B;C
524/90;1312,62;B;C
524/91;1475,42;B;C
524/92;1331,36;L;B
524/93;1466,12;X;C
524/94;1018,14;B;B
524/95;1318,23;L;C
524/96;529,80;L;C
524/97;1395,22;B;C
524/98;621,58;S;C
524/99;765,65;B;C
525/10;626,92;B;A
525/11;1233,50;X;B
525/12;1398,04;L;D
525/13;1329,20;X;A
525/14;1294,58;X;A
525/15;1239,87;S;B
525/16;944,42;B;C
525/17;1327,93;B;C
525/18;770,97;B;C
525/19;932,33;L;C
525/20;634,70;S;A
525/21;622,34;L;D
525/22;1195,10;X;D
525/23;1309,68;L;B
525/24;607,73;S;B
525/25;748,01;B;B
525/26;1405,71;B;A
525/27;704,09;R;B
525/28;1084,67;L;C
525/29;735,05;R;D
525/30;1158,94;L;A
525/31;1144,13;S;B
525/32;705,73;L;D
525/33;1179,90;B;D
525/34;1033,93;X;B
525/35;1446,66;B;A
525/36;842,05;B;C
525/37;1028,41;S;C
525/38;1181,09;L;C
525/39;714,18;S;A
525/40;1138,58;X;C
525/41;1193,45;L;A
525/42;1119,87;S;C
525/43;1440,10;X;C
525/44;1408,85;R;B
525/45;557,83;S;C
525/46;646,32;X;D
525/47;745,23;R;A
525/48;1075,16;L;C
525/49;1358,26;L;C
525/50;679,09;X;C
525/51;512,08;R;C
525/52;1380,04;B;C
525/53;567,63;R;A
525/54;913,11;B;D
525/55;854,72;B;B
525/56;1450,68;S;D
525/57;1325,71;S;D
525/58;967,08;R;C
525/59;895,35;X;A
525/60;1445,47;L;C
525/61;1180,01;B;B
525/62;1126,24;L;C
525/63;1047,54;L;C
525/64;1074,73;L;A
525/65;1172,42;B;D
525/66;502,35;X;B
525/67;801,36;X;B
525/68;1359,31;X;D
525/69;997,59;X;C
525/70;517,63;S;D
525/71;816,70;L;D
525/72;1026,75;L;C
525/73;969,12;X;D
525/74;901,22;B;B
525/75;1141,26;L;A
525/76;557,89;L;C
525/77;1214,79;X;B
525/78;637,92;X;C
525/79;1261,70;X;C
525/80;1356,75;B;A
525/81;888,72;B;D
525/82;1291,18;R;D
525/83;845,69;B;B
525/84;752,84;B;B
525/85;835,16;S;B
525/86;1291,23;X;B
525/87;1336,99;B;B
525/88;802,79;X;C
525/89;1447,18;B;C
525/90;973,84;R;B
525/91;1323,16;B;B
525/92;916,62;B;A
525/93;1290,94;S;D
525/94;557,24;B;D
525/95;864,00;B;B
525/96;507,54;X;C
525/97;730,72;B;B
525/98;566,84;S;C
525/99;1108,47;B;C
526/10;505,89;X;D
526/11;587,06;X;C
526/12;707,03;B;B
526/13;913,26;X;B
526/14;1295,91;R;B
526/15;1350,23;B;C
526/16;787,21;S;B
526/17;1441,66;B;B
526/18;733,82;X;C
526/19;1087,11;B;D
526/20;750,56;R;C
526/21;1454,78;S;B
526/22;652,61;S;B
526/23;1447,62;R;A
526/24;1321,61;X;C
526/25;721,76;S;B
526/26;640,96;R;D
526/27;1057,84;B;B
526/28;1283,48;B;D
526/29;1266,53;B;C
526/30;837,68;S;C
526/31;1089,70;X;A
526/32;1183,96;X;C
526/33;907,91;B;D
526/34;838,91;B;A
526/35;1123,28;B;D
526/36;951,25;B;B
526/37;1406,78;B;C
526/38;1245,27;X;B
526/39;1007,64;B;B
526/40;1254,30;B;C
526/41;716,21;B;D
526/42;1138,74;B;C
526/43;750,32;B;C
526/44;1127,35;L;C
526/45;891,80;S;B
526/46;554,05;B;B
526/47;1490,30;L;D
526/48;1484,79;L;B
526/49;1342,12;S;A
526/50;1199,45;B;C
526/51;984,69;X;C
526/52;854,91;L;B
526/53;1305,63;B;B
526/54;776,00;L;C
526/55;1322,98;S;B
526/56;1187,46;L;B
526/57;1259,86;B;D
526/58;1254,18;S;A
526/59;1476,42;S;C
526/60;1158,85;R;D
526/61;1273,60;L;C
526/62;1251,43;L;B
526/63;502,66;S;A
526/64;815,42;S;C
526/65;1472,92;B;D
526/66;724,27;B;C
526/67;1238,57;L;D
526/68;1212,44;S;C
526/69;572,10;B;C
526/70;798,49;X;B
526/71;1172,97;S;C
526/72;996,16;R;C
526/73;522,79;B;C
526/74;577,88;B;D
526/75;589,29;R;D
526/76;591,65;L;C
526/77;790,23;S;B
526/78;1068,50;B;D
526/79;975,25;S;A
526/80;1159,32;R;D
526/81;847,36;S;D
526/82;1136,26;R;B
526/83;1395,03;B;B
526/84;788,21;S;C
526/85;1257,76;X;D
526/86;679,58;X;A
526/87;1328,23;S;C
526/88;800,59;S;C
526/89;774,81;X;C
526/90;641,55;B;D
526/91;917,42;L;C
526/92;1225,79;S;C
526/93;727,82;X;B
526/94;1103,04;L;B
526/95;1161,44;S;B
526/96;727,71;B;D
526/97;1061,16;S;D
526/98;890,78;R;B
526/99;525,37;R;C
527/10;884,76;L;C
527/11;1440,75;L;C
527/12;805,75;B;D
527/13;1494,20;X;C
527/14;781,59;R;C
527/15;1179,01;X;B
527/16;1264,97;L;C
527/17;1479,77;X;A
527/18;1017,26;B;B
527/19;701,32;X;D
527/20;851,09;S;C
527/21;778,95;B;C
527/22;1236,97;B;B
527/23;1445,12;S;D
527/24;782,63;X;B
527/25;1407,52;X;A
527/26;1455,98;S;B
527/27;1376,00;X;D
527/28;895,71;B;C
527/29;1012,38;L;A
527/30;748,69;B;A
527/31;1061,54;S;B
527/32;586,96;S;D
527/33;745,38;L;C
527/34;547,48;B;B
527/35;1044,73;B;B
527/36;532,92;S;C
527/37;994,05;X;C
527/38;803,60;X;C
527/39;1319,21;B;C
527/40;1170,62;B;B
527/41;851,47;B;C
527/42;533,32;X;C
527/43;947,55;B;B
527/44;1133,91;B;C
527/45;1300,37;S;C
527/46;1151,23;L;C
527/47;1455,77;B;C
527/48;1280,18;S;A
527/49;902,97;R;A
527/50;1257,88;S;B
527/51;815,42;S;A
527/52;1491,70;X;C
527/53;1227,21;B;D
527/54;598,39;B;A
527/55;955,98;S;A
527/56;862,56;X;D
527/57;1373,38;X;A
527/58;1157,27;B;D
527/59;781,49;B;A
527/60;1231,76;B;C
527/61;1327,98;R;C
527/62;1284,56;R;D
527/63;852,33;B;C
527/64;926,72;B;B
527/65;536,35;B;C
527/66;691,39;L;A
527/67;1377,95;X;C
527/68;1076,90;S;D
527/69;1452,20;B;C
527/70;1292,04;B;B
527/71;1328,96;S;B
527/72;945,23;X;B
527/73;1299,63;L;A
527/74;878,68;X;C
527/75;765,16;B;C
527/76;856,23;B;D
527/77;1238,05;S;C
527/78;1129,70;S;B
527/79;1011,37;B;C
527/80;919,78;B;C
527/81;1337,47;L;B
527/82;543,14;B;D
527/83;1353,09;B;B
527/84;950,10;B;B
527/85;1147,42;B;B
527/86;1040,45;L;C
527/87;1484,17;R;A
527/88;1282,36;B;D
527/89;1264,26;L;B
527/90;1483,56;L;C
527/91;1214,59;B;C
527/92;691,01;B;B
527/93;666,97;X;C
527/94;1478,98;X;D
527/95;1311,09;S;B
527/96;1419,46;X;A
527/97;696,92;R;A
527/98;646,33;X;C
527/99;783,85;R;A
528/10;1358,64;B;C
528/11;1420,76;B;D
528/12;1464,17;L;C
528/13;804,20;B;B
528/14;1227,82;B;B
528/15;676,41;L;B
528/16;1272,55;L;B
528/17;893,80;X;B
528/18;1250,92;R;D
528/19;517,49;B;D
528/20;1437,54;S;A
528/21;1253,05;L;B
528/22;1458,94;S;A
528/23;1484,72;S;B
528/24;673,40;B;D
528/25;694,56;B;B
528/26;531,80;B;B
528/27;987,22;L;A
528/28;653,06;S;C
528/29;919,52;B;A
528/30;786,55;B;D
528/31;946,31;S;D
528/32;873,09;R;D
528/33;803,39;B;B
528/34;1291,37;L;D
528/35;725,46;S;B
528/36;913,84;S;C
528/37;1016,76;B;B
528/38;793,09;X;D
528/39;1164,93;B;B
528/40;980,83;L;B
528/41;920,11;S;B
528/42;637,26;X;C
528/43;697,91;R;C
528/44;1356,30;S;C
528/45;1419,63;X;A
528/46;1353,70;X;D
528/47;912,35;B;B
528/48;1362,53;R;B
528/49;577,13;B;B
528/50;1206,29;X;B
528/51;1203,69;X;C
528/52;697,29;X;C
528/53;1312,38;B;C
528/54;1071,03;X;D
528/55;757,64;X;B
528/56;1019,75;S;D
528/57;1174,31;B;A
528/58;1086,76;R;D
528/59;1289,11;S;A
528/60;554,14;B;D
528/61;1429,87;L;B
528/62;959,81;B;C
528/63;1482,80;X;A
528/64;770,34;X;C
528/65;710,09;B;C
528/66;987,85;X;D
528/67;872,13;B;D
528/68;1378,89;B;C
528/69;1252,91;B;A
528/70;997,92;B;C
528/71;814,88;S;C
528/72;1183,25;X;B
528/73;892,53;B;B
528/74;727,51;R;C
528/75;1099,47;B;B
528/76;1111,01;B;A
528/77;1417,60;X;A
528/78;1453,09;B;C
528/79;979,42;X;B
528/80;1101,76;B;A
528/81;574,83;S;B
528/82;568,58;B;C
528/83;1268,68;X;A
528/84;957,19;X;C
528/85;797,29;B;D
528/86;1362,32;B;C
528/87;524,88;B;A
528/88;1024,45;B;D
528/89;1322,91;B;B
528/90;502,41;R;B
528/91;1351,51;S;B
528/92;1401,40;B;B
528/93;1326,95;B;D
528/94;1222,93;X;B
528/95;624,93;B;C
528/96;615,78;X;B
528/97;816,97;S;B
528/98;652,04;S;B
528/99;945,05;X;B
529/10;585,16;B;A
529/11;1097,73;X;B
529/12;971,55;R;D
529/13;825,07;B;C
529/14;1241,29;B;B
529/15;892,78;B;C
529/16;1205,46;R;D
529/17;1054,71;X;C
529/18;1472,02;X;D
529/19;889,95;B;B
529/20;1437,86;S;B
529/21;1430,59;B;B
529/22;1013,10;B;C
529/23;892,19;X;B
529/24;1388,72;X;B
529/25;781,55;B;D
529/26;849,71;B;C
529/27;1206,44;X;C
529/28;685,61;B;A
529/29;545,80;X;C
529/30;1496,51;R;B
529/31;1466,09;B;A
529/32;689,44;X;B
529/33;1238,84;B;A
529/34;835,52;B;B
529/35;877,96;S;A
529/36;642,55;B;A
529/37;741,16;S;D
529/38;1138,51;B;C
529/39;549,32;B;A
529/40;1121,71;X;B
529/41;1494,49;S;D
529/42;639,82;B;C
529/43;840,27;B;C
529/44;549,76;B;B
529/45;1414,52;B;D
